School,other_names,State,join_id,operation_dates,religions_identified,tribes_identified,deaths_documented_by_post,deaths_documented_by_govt,grave_sites_found_by_post,grave_sites_found_by_govt
American Indian Institute,Roe Indian Institute,KS,127,1915 - 1939,Presbyterian,"Cherokee; Chippewa; Choctaw; Comanche; Creek, Muscogee, Mvskoke; Delaware, Lenni Lenape; Ho-Chunk, Winnebago; Kickapoo, Kiikaapoa, Kiikaapoi; Kiowa; Navajo, Navaho, Dine; Omaha; Oneida; Ponca; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Shawnee; Sioux; Wyandot, Wyandotte; Yakama, Yakima; Yuchi, Euchee",0,0,,
Kaw Methodist Mission School,Kaw Manual Labor School,KS,129,1851 - 1854,Methodist,"Kaw, Kansa, Kanza, Kanzas, Kansas",0,0,,
Pottawatomie Boarding School,Potawatomi Boarding School,KS,131,1866 - 1908,Religious Society of Friends,"Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Prairie Band Potawatomi",0,0,,
Pottawatomie Mission Boarding School,Potawatomi Baptist Manual Labor School; Pottawatomie Training School; Baptist Mission,KS,132,1839 - 1873,Baptist; Southern Baptist Convention,"Potawatomi, Potawatomie, Pottawatomie, Potowatomi",0,0,,
Shawnee Methodist Mission and Indian Manual Labor School,Ft. Leavenworth School; Shawnee Indian Mission State Historic Site,KS,133,1839 - 1839,Methodist; Methodist Episcopal,"Delaware, Lenni Lenape; Shawnee",0,0,,
St. Mary's Mission and School,"St. Mary's College; Immaculate Conception Church; Potawatomi Catholic Manual Labor
School; St. Mary's Mission School at Red Lake",KS,134,1847 - 1967,Catholic; Jesuit; Sisters of the Sacred Heart,"Osage; Potawatomi, Potawatomie, Pottawatomie, Potowatomi",0,0,,
Baraga Chippewa Boarding and Day School,Chippewa Mission; Holy Name Boarding and Day School,MI,137,1884 - 1931,Catholic,"Bay Mills, Chippewa; Chippewa; Ottawa, Odawa, Odaawaa",0,0,,
Catholic Otchippewa Boarding School,Otchippewa Day and Orphan Boarding,MI,138,1883 - 1888,Catholic,"Lac Vieux Desert Band, Lake Superior Chippewa; L'Anse, Ontonagon, Keweenaw Bay, Lake Superior Chippewa, Michigan",0,0,,
Mackinac Mission School,"Mission House; Michilimackic or Michillimackinac School; Mackinaw Mission School for
Native American and Metis Children",MI,139,1823 1849,American Board of Commissioners for Foreign Missions (ABCFM); Catholic; Presbyterian,"Chippewa; Ottawa, Odawa, Odaawaa",0,0,,
Ah-Gwah-Ching Sanatorium and School,USPHS Minnesota State Indian Sanatorium; Minnesota Sanatorium for Consumptives,MN,142,1907 - 1962,,Chippewa,0,0,,1 offsite
Bena Boarding School,,MN,143,1901 - 1911,,Chippewa,0,0,,
Cass Lake Boarding School,,MN,144,1889 - 1921,,"Chippewa; Leech Lake Band Chippewa, Minnesota",0,0,,
Pine Point Boarding and Day School,Pine Point Experimental School,MN,146,1889 - 1936,,Chippewa,0,0,,
St. Benedict's at White Earth Mission,"White Earth Mission Boarding School; St. Benedict's Mission Boarding School; St. Benedicts
Orphan School",MN,147,1885 - 1945,Catholic; Order of Saint Benedict,"Chippewa; Fond du Lac Band Chippewa, Minnesota; White Earth Band Chippewa",0,0,,
Convent of Our Lady of the Lake,Graceville School,MN,149,1885 - 1896,Catholic,Sisseton Wahpeton Oyate Sioux,0,0,,
Nett Lake Boarding and Day School,,MN,151,1907 - 1931,,"Bois Forte Band Chippewa, Nett Lake, Minnesota; Fond du Lac Band Chippewa, Minnesota",0,0,,
St. Benedict's Academy at Saint Joseph,Saint Benedict's Monastery; St. Benedict Mission and School; College of Saint Benedict*,MN,153,1884 - Open,Order of Saint Benedict,Chippewa,0,0,,
Mary's Mission Boarding and Day,Red Lake Mission Boarding School,MN,156,1891 - 1940,Order of Saint Benedict,"Fond du Lac Band Chippewa, Minnesota",0,0,,
Cross Lake Indian Residential School,Ponemah Boarding School; Crosslake Boarding School,MN,159,1901 - 1936,Catholic,"Chippewa; Oneida; Red Cliff Band, Lake Superior Chippewa, Wisconsin; Red Lake Band of Chippewa, Minnesota",0,0,,
Rice River Boarding and Day School,Rice River Boarding and Day School,MN,162,1884 - 1915,,Chippewa,0,0,,
Bethel Mission School,French camps,MS,163,1822 - 1830,American Board of Commissioners for Foreign Missions (ABCFM),Choctaw,0,0,,1 onsite
Choctaw Central Indian School,Choctaw Central Middle and High School*,MS,165,1963 - Open,,Mississippi Band of Choctaw,0,0,,
Eliot School,"Elliot, Elliott, or Eliott Mission School",MS,166,1818 - 1834,American Board of Commissioners for Foreign Missions (ABCFM),Choctaw,0,0,,
Emmaus Mission School,Emmaus Station School,MS,167,1823 - 1834,American Board of Commissioners for Foreign Missions (ABCFM),Choctaw,0,0,,1 onsite
Martyn Mission School,,MS,168,1821 - 1834,American Board of Commissioners for Foreign Missions (ABCFM); Synod of South Carolina and Georgia,"Chickasaw, Chikashsha",0,0,,1 onsite
Mayhew School,Mayhew Mission School; Mayhew Station School,MS,169,1822 - 1834,American Board of Commissioners for Foreign Missions (ABCFM),Choctaw,0,0,,1 onsite
St. Regis Seminary,St. Ferdinand de Florissant; Florissant Mission School; St. Stanislaus Seminary,MO,171,1823 - 1971,Catholic; Society of Jesuits,"Iowa, Ioway, Bah-Kho-Je, Baxoje; Sac and Fox of Missouri in Kansas and Nebraska; Sac, Sauk",0,0,,
Pryor Creek Boarding School,Boarding School,MT,176,1903 - 1920,,"Crow, Absaroka",0,0,,
Wolf Point Mission Boarding and Day,,MT,185,1900 - 1928,Presbyterian,"Assiniboine; Flandreau Santee Sioux; Yankton Sioux, Yanktonai",0,0,,
Montana Industrial School for Indians,Bond's Mission School,MT,187,1886 - 1897,Unitarian,"Crow, Absaroka",0,0,,
Iowa Industrial School,"Sac and Fox and Iowa Boarding School; Orphans Industrial Home; Iowa Industrial Home;
Great Nemaha School; Iowa Day School",NE,193,1874 - 1901,,"Iowa, Ioway, Bah-Kho-Je, Baxoje; Sac and Fox; Sac and Fox of Missouri in Kansas and Nebraska",0,0,,
Omaha Mission Boarding,,NE,195,1886 - 1894,Presbyterian,Omaha,0,0,,
Silver Ridge Seminary,,NE,197,1874 - 1886,Presbyterian,Santee Sioux,0,0,,
Winnebago Boarding School,Winnebago Industrial Boarding School,NE,198,1874 - 1920,Dutch Reformed Church,"Ho-Chunk, Winnebago, Nebraska",0,0,,
Cheechilgeetho Boarding School,"Cheechilgeetho Day School; Chi Chil Tah Community School; Chichiltah-Jones Ranch
Community School; Chi chil tah/Jones Ranch Community School*",NM,205,1935 - Open,,"Navajo, Navaho, Dine",0,0,,
Chuska Boarding School,"Choshgai Boarding School; Ch'ooshgai (Chuska) Community School; Chuska/Tohatchi
Consolidated School; Ch'ooshgai Community School*",NM,206,1965 - Open,,"Navajo, Navaho, Dine",0,0,,
Coyote Canyon Boarding and Day School,,NM,207,1935 - 1967,,"Navajo, Navaho, Dine",0,0,,
Iyanbito Boarding School,Iyanbito Day School,NM,209,1935 - 1970,,"Navajo, Navaho, Dine",0,0,,
Mexican Springs Boarding School,Mexican Springs Day School; Mexican Springs Dormitory,NM,211,1935 - 1963,,"Navajo, Navaho, Dine",0,0,,
Naschitti Boarding School,Day School; Naschiti Dormitory; Naschitti Elementary School*,NM,212,1935 - Open,,"Navajo, Navaho, Dine",0,0,,
Pinedale Boarding School,Pinedale School; Pinedale Day School,NM,213,1917 - 1975,,"Navajo, Navaho, Dine",0,0,,
Standing Rock Boarding School,Standing Rock Community School; Tse'ii'ahi' Community School*,NM,215,1935 - Open,,"Navajo, Navaho, Dine",0,0,,
Thoreau Boarding School,,NM,216,1934 - 2006,,"Navajo, Navaho, Dine",0,0,,
Twin Lakes Boarding School,Twin Lakes Elementary School*,NM,218,1936 - Open,,"Navajo, Navaho, Dine",0,0,,
Beclabito Boarding School,Beclabito Day School*,NM,221,1935 - Open,,"Navajo, Navaho, Dine",0,0,,
Crystal Boarding School,,NM,222,1933 - Open,,"Navajo, Navaho, Dine",0,0,,
Dzilth-Na-O-Dith-Hle Community School,Dzilth-Na-O-Dith-Hle Community Grant School*,NM,223,1968 - Open,,"Navajo, Navaho, Dine",0,0,,
Huerfano Dormitory,"Huerfano Dormitory Day School; Huerfano Day School; Huerfano Boarding School; Hanáádli
Community School and Dormitory, Inc.*",NM,224,1935 - Open,,"Navajo, Navaho, Dine",0,0,,
Lake Valley Navajo School,Lake Valley,NM,225,1935 - Open,,"Cherokee; Navajo, Navaho, Dine",0,0,,
Nava Boarding and Day School,Nava Day,NM,226,1929 - 1955,,"Navajo, Navaho, Dine",0,0,,
Navajo Jewett Mission School,"Navajo Methodist Mission School; Navajo Presbyterian Mission School; Liberty (Jewett);
Liberty Indians Boarding School; Navaho Mission School",NM,227,1899 - 1915,Presbyterian,"Navajo, Navaho, Dine",0,0,,
Nenahnezad Boarding School,"Nenah-Nezad School; Nenannezed School; Fruitland Day School; Nenahnezad Community
School*",NM,228,1937 - Open,,"Navajo, Navaho, Dine",0,0,,
Sanostee Boarding School,Saynostee Day School; Sanostee Day School*,NM,230,1933 - Open,,"Navajo, Navaho, Dine",0,0,,
Shiprock Indian Boarding School,Shiprock Agricultural School; Shiprock Agricultural High School; Shiprock Farm Training Enterprise,NM,231,1905 - 1989,,"Navajo, Navaho, Dine",0,0,,
Institute of American Indian Arts,,NM,233,1962 - Open,,"Navajo, Navaho, Dine",0,0,,
St. Catherine Indian School,"St. Catharine's; St. Catherine's Mission Boarding School; St. Catherine Industrial School;
Santa Fe Boarding School",NM,236,1887 - 2006,Catholic,"Navajo, Navaho, Dine; Pueblo; Pueblo of Nambe, Nambe O-Ween-Ge; Pueblo of Tesuque, TET-SUGEH; Quechan, Yuma",0,0,,
Canoncito Boarding School,Canoncito School; TóHajiilee Community School*,NM,238,1935 - Open,,"Navajo, Navaho, Dine",0,0,,
Indian Pueblo Training School,Pueblo Industrial School; Albuquerque Boarding School for Pueblos,NM,239,1881 - 1884,Presbyterian Board of Home Missions,Pueblo,0,0,,
Pueblo Pintado Boarding School,Pueblo Pintado School; Pueblo Pintado Day School; Pueblo Pintado Community School*,NM,240,1935 - Open,,"Navajo, Navaho, Dine",0,0,,
Sisters of Loretto School,"Bernalillo Boys' Boarding School; Bernalillo Girls' Boarding School; Sisters of Loretta;
Loretto Indian School; Bernalillo Boarding School; Sisters of Loretto School at Bernalillo",NM,241,1885 - 1937,Catholic,"Keres, Queres Pueblo; Pueblo of Laguna, Ka'waika; Ysleta del Sur Pueblo, Tigua",0,0,,
White Horse Lake Boarding School,White Horse; Whitehorse Lake,NM,242,1935 - 1970,,"Navajo, Navaho, Dine",0,0,,
Alamo Navajo School,Alamo Boarding School; Alamo Navajo Day School; Alamo Navajo Community School*,NM,243,,,"Navajo, Navaho, Dine",0,0,,
Laguna Sanatorium,,NM,245,1911 - 1933,,"Apache; Crow, Absaroka; Hopi, Moqui Pueblo; Navajo, Navaho, Dine; Pawnee; Pueblo of Jemez, Walatowa; Pueblo of Laguna, Ka'waika; Pueblo of Santa Clara, Kah'p'oo Owinge; Pueblo of Zuni, Ashiwi; Ute; Ute Indian Tribe of the Uintah and Ouray",0,0,,
Seneca Mission and School,Buffalo Creek School; Buffalo Creek Mission,NY,248,1818 - 1845,American Board of Commissioners for Foreign Missions (ABCFM); Baptist General Convention,New York Indian,0,0,,
Tonawanda Mission School,,NY,250,1827 - 1845,American Board of Commissioners for Foreign Missions (ABCFM); Baptist General Convention,New York Indian; Seneca,0,0,,
Judson College,Western North Carolina Female College,NC,252,1860 - 1886,Baptist,"Eastern Cherokee, North Carolina",0,0,,
Trinity College Industrial Indian Boarding School,Trinity College; Duke University,NC,253,1880 1886,Methodist,"Eastern Cherokee, North Carolina",0,0,,
Valley Towns Baptist Mission School,Valley-towns Mission School,NC,254,1827 1833,American Board of Commissioners for Foreign Missions (ABCFM); Baptist General Convention,Cherokee,0,0,,
Fort Totten Indian School Grey Nuns Department,Grey Nun's School,ND,256,1890 - 1930,Catholic,Chippewa; Cree; Sioux; Sisseton Wahpeton Oyate Sioux; Spirit Lake Sioux; Turtle Mountain Band of Chippewa; White Earth Band Chippewa,0,0,,
Maddock Agricultural and Training School,Benson County Agricultural and Training School; Maddock Public School*,ND,257,1914 - Open,,Chippewa; Sioux,0,0,,
Fort Yates Government School,"St. Peter Catholic Mission School; Fort Yates Industrial Boarding School; Girls School at Fort
Yates",ND,262,1878 - 1882,Catholic,Standing Rock Sioux,0,0,,
Fort Berthold Agency Boarding School,"Fort Berthold Browning School; Fort Berthold Industrial School; Elbowoods Community
School; Elbowoods High School",ND,266,1895 - 1953,,"Arikara, Arickaree, Arikaree; Chippewa; Gros Ventre, Aaniiih; Mandan, Mantannes, Mayadana; Sioux",0,0,,
Haloche Indian Mission School,"Haloche Industrial Institute; Haloche Indian Mission School; The Industrial Institute for the
Deaf, Blind, and Orphans of the Colored Race; The Negro Institution at Taft",OK,269,1906 - 1909,,Choctaw,0,0,,1 onsite
Harrell International Institute,Spaulding Female College; Spaulding Institute,OK,270,1881 - 1904,Methodist Episcopal,"Creek, Muscogee, Mvskoke",0,0,,
International School of Blind and Deaf,Lura A. Lowrey School for the Blind; Oklahoma School for the Blind,OK,271,1898 - 1908,,Cherokee; Choctaw,0,0,,
Murrow Orphan Home,Murrow Indian Orphanage; Atoka Baptist Academy,OK,272,1892 - 1909,,"Choctaw; Five Tribes, Five Civilized Tribes",0,0,,
Nazareth Institute,Nazareth College; Nazarath Institute and Academy for Girls,OK,273,1896 - 1932,Sisters of St. Joseph,"Creek, Muscogee, Mvskoke; Five Tribes, Five Civilized Tribes; Kalapuya, Calapuya",0,0,,
Pecan Creek Mission School,Pecan Creek Colored Boarding School,OK,274,1898 - 1910,,"Creek Freedmen; Creek, Muscogee, Mvskoke",0,0,,
Presbyterian School for Indian Girls,Henry Kendall College; Minerva Home,OK,275,1898 - 1907,Presbyterian; Presbyterian Mission Board,"Creek, Muscogee, Mvskoke",0,0,,
Cherokee Colored Boarding School,Cherokee Colored High School,OK,276,1879 - 1910,,Cherokee; Cherokee Freedmen,0,0,,
Arapaho Manual Labor and Boarding School,Arapaho Industrial Boarding School; Arapaho Boarding School,OK,282,1872 - 1909,Quaker; Religious Society of Friends,"Arapaho, Arapahoe; Cheyenne Arapaho, Oklahoma",0,0,,
Cache Creek Mission School,Cache Creek Boarding,OK,285,1885 - 1917,Reformed Church,"Comanche; Kiowa Apache, Plains Apache; Wichita, Kitikiti'sh",0,0,,1 onsite
Chishoktak Boarding and Day School,,OK,289,1904 - 1911,,Choctaw,0,0,,
Darlington Mission School,"Cheyenne and Arapaho Mennonite Boarding School; Mennonite Manual Labor and Boarding
School",OK,290,1871 - 1902,Mennonite,"Arapaho, Arapahoe",0,0,,
Mary Gregory Memorial Mission School,,OK,292,1896 - 1909,Presbyterian,"Kiowa Apache, Plains Apache",0,0,,
Murray State School of Agriculture,Murray State College,OK,293,1908 - Open,,"Cherokee; Chickasaw, Chikashsha; Choctaw; Creek, Muscogee, Mvskoke; Seminole",0,0,,
Oklahoma Presbyterian College for Girls,Calvin Institute; Durant Presbyterian College,OK,294,1894 - 1966,Presbyterian,"Cherokee; Chickasaw, Chikashsha; Choctaw; Creek, Muscogee, Mvskoke; Seminole",0,0,,
Emahaka Academy,Emahaka Mission,OK,302,1894 - 1914,Presbyterian Mission Board,"Freedmen, Freedwomen; Seminole",0,0,,
McCabe Boarding School,Pawhuska Boarding School,OK,304,1889 - 1893,Women's Home Missionary Society,Osage from Pawhuska,0,0,,
Mekusukey Academy,Mekusukey Male Academy; Mikasukey School,OK,305,1891 - 1931,Presbyterian Mission Board,"Creek, Muscogee, Mvskoke; Freedmen, Freedwomen; Seminole; Seminole, Oklahoma",0,0,,
St. Mary's Mission School,St. Mary's of the Quapaw; St. Mary's Mission and School in Oklahoma; St. Mary's School for Indians,OK,311,1893 - 1928,Sisters of Divine Providence,Quapaw,0,0,,
Wewoka Mission School,Ramsey Mission School,OK,312,1868 - 1892,Presbyterian Mission Board,Muscogee Creek of Oklahoma; Seminole,0,0,,
Colbert Institute,Calbert Institute,OK,315,1854 - 1861,Methodist,"Chickasaw, Chikashsha",0,0,,
Coweta Boarding School,"Kowetah Mission; Kowetah Manual Labor Boarding School; Creek Manual Labor Boarding
School; Creek Agency School",OK,316,1840 - 1907,Presbyterian,"Creek, Muscogee, Mvskoke; Five Tribes, Five Civilized Tribes",0,0,,1 onsite
Creek Orphan Home,Creek Orphan Asylum; Colored Orphan Home (Creek),OK,317,1891 - 1910,,"Creek, Muscogee, Mvskoke",0,0,,
El Meta Bond College,El Meta Christian College,OK,318,1894 - 1921,Christian,"Chickasaw, Chikashsha; Choctaw",0,0,,
Norwalk Academy for Boys,,OK,322,1842 - 1854,Methodist,Choctaw,0,0,,
Nuyaka School and Orphanage,,OK,323,1882 - 1933,Baptist; Board of Foreign Missions of the Presbyterian Church,"Creek, Muscogee, Mvskoke; Five Tribes, Five Civilized Tribes",0,0,,
St. Agnes Academy,St. Agnes Academy and Boarding School; St. Agnes Boarding School for Boys,OK,327,1897 - 1932,Catholic; Sisters of Divine Providence,"Chickasaw, Chikashsha; Choctaw",0,0,,
St. Agnes Mission,St. Agnes Academy for Girls,OK,328,1897 - 1945,Catholic,Choctaw,0,0,,
St. John's School for Osage Indian Boys,St. John's Mission Boarding School,OK,329,1888 - 1913,Catholic,Osage,0,0,,1 offsite
St. Joseph's School,St. Joseph's Catholic Boarding School; St. Joseph Orphan School; St. Joseph Convent and Academy; St. Joseph's Academy,OK,330,1899 - 1940,Catholic,"Chickasaw, Chikashsha; Choctaw; Osage",0,0,,
Tuskahoma Female Academy,Tuskahoma Institute; Tushkahoma Female Institute; Tushkahoma Female Academy,OK,332,1892 - 1927,,Choctaw,0,0,,
Burney Institute,Lebanon Orphan School; Chickasaw Orphan Home and Manual Labor School,OK,333,1854 - 1910,,"Chickasaw, Chikashsha; Five Tribes, Five Civilized Tribes",0,0,,1 onsite
Cantonment Boarding School,Mennonite Boarding; Mennonite Manual Labor and Boarding School at Cantonment,OK,334,1884 - 1927,Mennonite,"Arapaho, Arapahoe; Cheyenne",0,0,,
Collins Institute,,OK,336,1856 - 1917,,"Chickasaw, Chikashsha; Five Tribes, Five Civilized Tribes",0,0,,
Rainy Mountain Boarding School,,OK,340,1893 - 1920,,"Kiowa Apache, Plains Apache",0,0,,
Red Moon Boarding School,Red Moon Day School,OK,341,1897 - 1924,,Cheyenne,0,0,,
St. Elizabeth's Boarding School,St. Elizabeth's Convent; St. Elisabeth's Academy,OK,344,1888 - 1948,Catholic,"Chickasaw, Chikashsha; Choctaw",0,0,,
Forest Grove Indian Training School,Forest Grove Manual Training School,OR,353,1880 - 1885,,"Alaskan; Chehalis; Nisqually, Nisqualli; Oyster Bay; Paiute, Pi-Ute; Pit River; Puyallup; Snohomish; Spokane; Umatilla; Wasco, Wishram, Chinook from Warm Springs",0,0,,1 onsite
Simnasho Boarding and Day School,Sin-e-ma-sho Boarding School; Sinemasho School,OR,356,1880 - 1895,Presbyterian,"Northern Paiute from Warm Springs; Paiute, Pi-Ute; Puyallup; Wasco, Wishram",0,0,,
Martinsburg School,Juniata Institute,PA,361,1885 - 1888,,Oneida; Osage,0,0,,
Ascension Girls Boarding School,Indian School at Iyakaptope; Indian School at Iyakaptapi; Ascension Day School,SD,362,1880 - 1886,Presbyterian,Sisseton Wahpeton Oyate Sioux,0,0,,
Good Will Mission Boarding School,Goodwill Mission Boarding School; Good-Will Mission School,SD,363,1870 - 1912,Presbyterian,Sisseton Wahpeton Oyate Sioux,0,0,,
Grand River Boarding School,,SD,364,1893 - 1911,,Standing Rock Sioux,0,0,,
Hare Industrial School,Bishop Hare Industrial School; Bishop Hare Mission Home,SD,365,1929 - 1979,Episcopal; Presbyterian,Rosebud Sioux,0,0,,
St. Benedict Mission School,Indian Farm School; St. Benedict Mission Farm School; Martin Kenel Boarding School; Standing Rock Agricultural Boarding School,SD,368,1878 - 1961,Catholic,"Hunkpapa Lakota, Sioux; Standing Rock Sioux",0,0,,
St. Elizabeth's School,St. Elizabeth's Mission School,SD,369,1886 - 1967,Episcopal,Cheyenne River Sioux; Standing Rock Sioux,0,0,,
Fort Bennett Boarding School,Cheyenne River Agency Boarding School for Indian Boys,SD,373,1880 - 1894,,Cheyenne River Sioux,0,0,,
Grace Mission Home Boarding and Day School,Grace Howard Mission Boarding and Day School; Grace Howard Boarding and Day School; Grace School,SD,374,1888 - 1903,Protestant Episcopal,Crow Creek Sioux,0,0,,
Hope Indian Boarding School,Springfield Indian Boarding School,SD,375,1880 - 1923,Episcopal,Flandreau Santee Sioux,0,0,,
St. Joseph's Indian School,,SD,383,1927 - Open,Catholic,Cheyenne River Sioux; Turtle Mountain Band of Chippewa,0,0,,
St. Mary's Episcopal School for Indian Girls,"St. Mary's Industrial Boarding School for Boys and Girls; St. Mary's Mission Boarding;
Ascension Chapel at St. Mary's; Springfield Academy",SD,384,1885 - 2011,Episcopal,"Oneida, Wisconsin: Sioux",0,0,,
Cheyenne-Eagle Butte Boarding School,Cheyenne River Community School; Cheyenne-Eagle Butte School*,SD,386,1959 - Open,,Cheyenne River Sioux,0,0,,
Plum Creek Boarding School,,SD,389,1895 - 1904,Society for Propagating the Gospel,Cheyenne River Sioux,0,0,,
St. Paul's Indian Mission School,"St. Paul's Mission Boarding; St. Paul's Boarding School; Episcopal Mission School; Marty
Indian School*",SD,391,1874 - Open,Episcopal,"Yankton Sioux, Yanktonai",0,0,,
Brainerd Mission School,Brainard Mission School; Chickamauga Mission,TN,393,1817 - 1838,American Board of Commissioners for Foreign Missions (ABCFM),Cherokee,0,0,,1 onsite
Navajo Faith Mission School,Navajo Mission Boarding; Aneth (Navaho Mission),UT,395,1899 - 1917,"Independent, Nonsectarian Missionary","Navajo, Navaho, Dine",0,0,,
St. George Southern Utah Boarding,Shebit School; Southern Utah Boarding School,UT,400,1900 - 1904,,"Kaibab Band of Paiute; Shivwits Band of Paiute, Shebits, Utah; Ute Indian Tribe of the Uintah and Ouray",0,0,,
St. Mary's Mission School,Paschal Sherman Indian School*,WA,404,1886 - Open,Catholic Bureau of Indian Missions,Colville,0,0,1 onsite,
Chehalis Boarding and Day School,Chehalis School; Puyallup-Chehalis School,WA,408,1887 - 1920,,"Chehalis; Nisqually, Nisqualli; Puyallup; Squaxin Island, Squaxon",0,0,,
St. Joseph's Boarding School,North Yakima: St. Joseph's Boarding School,WA,411,1888 - 1889,Catholic,"Yakama, Yakima",0,0,,
Bayfield Mission Boarding and Day School,Holy Family Mission School,WI,418,1880 - 1999,Catholic,"Fond du Lac Band Chippewa, Minnesota; Ojibwe, Ojibwa, Saulteaux",0,0,,
Saint Mary's Catholic Indian Boarding School,"Odanah St. Mary's Mission Boarding School; Odanah Boarding and Day School; St. Mary's
Mission and School*",WI,424,1883 - Open,Catholic,"Fond du Lac Band Chippewa, Minnesota",0,0,,
Zoar Mission Boarding School,Menominee (Zoar Mission) School,WI,428,1904 - 1908,Lutheran,"Menominee, Menomini, Mamaceqtaw",0,0,,
Arapaho Boarding and Day School,Northern Arapahoe Boarding School,WY,429,1878 - 1881,,"Northern Arapaho from Wind River, Wyoming",0,0,,
Shoshone Boarding and Day School,Shoshone and Bannock Boarding and Day School; Eastern Shoshone,WY,430,1879 - 1883,,"Arapaho, Arapahoe; Goshute, Deer Creek, Snake Creek, Newe, Newenee, Shoshone; Shoshone Bannock; Sioux",0,0,,
Shoshone-Episcopal Mission Boarding School,"Shoshone-Episcopal Mission Boarding School; Shoshone School for Indian Girls; Robert's
School; Shoshoni Mission School",WY,431,1892 - 1945,Episcopal,"Shoshone, Shoshoni, Snake",0,0,,
St. Michael's Mission,The Church of Our Father's House,WY,432,1912 - 1956,Catholic; Episcopal,"Arapaho, Arapahoe",0,0,,
Wills Town Mission School,Willstown Mission School,AL,435,1823 - 1838,American Board of Commissioners for Foreign Missions (ABCFM),"Cherokee; Chickasaw, Chikashsha",0,0,,1 onsite
Methvin Institute,Methodist Episcopal Mission Boarding School; M.E. Mission Boarding School,OK,438,1890 - 1908,Methodist,"Kiowa Apache, Plains Apache",0,0,,
Asbury Manual Labor School,,OK,440,1847 - 1892,Methodist,"Creek, Muscogee, Mvskoke; Menominee, Menomini, Mamaceqtaw",0,0,,1 offsite
Choctaw and Chickasaw Sanatorium School,"Choctaw and Chickasaw Sanatorium; Choctaw-Chickasaw Sanatorium; Talihina Indian
Tuberculosis Hospital",OK,441,1912 - 1999,,"Chickasaw, Chikashsha; Choctaw",0,0,,
Lone Wolf Boarding School,Lone Wolf Mission School,OK,443,1890 - 1910,American Baptist Home Mission Society,Kiowa,0,0,,
St. Francis Regis Mission School,Saint Francis; St. Francis Xavier Boarding,WA,446,1873 - 1921,Catholic,"Chewelah, Lower Spokane; Colville",0,0,,
Stickney Home Mission School for Indians,"Stickney Memorial Home and Industrial School; Stickney Day School; Nooksack Boarding
School; Lummi Boarding School",WA,447,1890 - 1909,Methodist; Methodist Episcopal,Nooksack,0,0,,
Industrial and Reformatory School for Girls,"Maunawili Training Schools for Girls; Kawailoa Training School for Girls; Olomana School;
Kawailoa Girls' Home; Hawaii Youth Correctional Facility*",HI,99,1904 - 1913 | 1913 - 1929 | 1929 - Open,,Native Hawaiian,0,0,,
St. Michael's Manual Labor School,"St. Michael's Mission School; Seven Dolors Mission; Devils Lake Agency Industrial Boarding
School; Grey Nuns School; Little Flower School",ND,258,1874 - 1885 | 1880 - 1890,Catholic; Grey Nuns,Sioux,0,0,,
C. L. Halls' Congregational Mission Home School,"Charles Lemon Hall; Fort Berthold Mission Boarding and Day School; Fort Berthold Indian
Mission School",ND,260,1876 - 1904 | 1892 - 1940,American Missionary Association; Congregational Church,"Arikara, Arickaree, Arikaree; Gros Ventre, Aaniiih; Mandan, Mantannes, Mayadana; Three Affiliated Tribes of Fort Berthold, Mandan, Hidatsa, Arikara",0,0,,
Cherokee Female Seminary,Cherokee Academy,AZ,277,1852 - 1889 | 1889 - 1909,Board of Foreign Missions of the Presbyterian Church,"Cherokee; Chickasaw, Chikashsha; Five Tribes, Five Civilized Tribes; Kiowa",0,0,,
Sacred Heart Mission School,St. Benedict's Industrial School; Sacred Heart Mission Boarding School; St. Benedict's College; Sacred Heart College; St. Mary's Academy; St. Mary's Boarding School; St. Mary's Convent,OK,296,1880 - 1946 | 1880 - 1946,Catholic,"Osage; Potawatomi, Potawatomie, Pottawatomie, Potowatomi; Shawnee",0,0,,1 onsite
Klamath Agency / Yainax Boarding School,Yainax Industrial and Day School; Yainax Training School,OR,351,1882 - 1916,,"Goshute, Deer Creek, Snake Creek, Newe, Newenee, Shoshone; Klamath; Modoc from Klamath, Oregon; Paiute, Pi-Ute; Pit River; Snake Indians",0,0,,
